ti_nome,municipio
Mamoadate,ASSIS BRASIL
Mamoadate,SENA MADUREIRA
Mangueira,ALTO ALEGRE
Mangueirinha,CHOPINZINHO
Mangueirinha,CORONEL VIVIDA
Mangueirinha,MANGUEIRINHA
Manoa/Pium,BONFIM
Manoki,BRASNORTE
Mapari,FONTE BOA
Mapari,JAPURÁ
Mapari,TONANTINS
Maraã Urubaxi,MARAÃ
Maraã Urubaxi,SANTA ISABEL DO RIO NEGRO
Maracaxi,AURORA DO PARÁ
Maraitá,AMATURÁ
Maraiwatsede,SÃO FÉLIX DO ARAGUAIA
Maraiwatsede,BOM JESUS DO ARAGUAIA
Maraiwatsede,ALTO BOA VISTA
Marajai,ALVARÃES
Maranduba,SANTA MARIA DAS BARREIRAS
Maranduba,ARAGUACEMA
Marechal Rondon,PARANATINGA
Maró,SANTARÉM
Marrecas,GUARAPUAVA
Marrecas,TURVO
Massacara,EUCLIDES DA CUNHA
Massaco,ALTA FLORESTA D´OESTE
Massaco,SÃO FRANCISCO DO GUAPORÉ
Mata da Cafurna,PALMEIRA DOS ÍNDIOS
Mata Medonha,SANTA CRUZ CABRÁLIA
Matintin,SANTO ANTÔNIO DO IÇÁ
Matintin,TONANTINS
Mato Castelhano,MATO CASTELHANO
Mato Preto,EREBANGO
Mato Preto,ERECHIM
Mato Preto,GETÚLIO VARGAS
Mawetek,EIRUNEPÉ
Mawetek,JUTAÍ
Maxacali,BERTÓPOLIS
Maxacali,SANTA HELENA DE MINAS
Mbiguaçu,BIGUAÇU
Médio Rio Negro I,JAPURÁ
Médio Rio Negro I,SANTA ISABEL DO RIO NEGRO
Médio Rio Negro I,SÃO GABRIEL DA CACHOEIRA
Médio Rio Negro II,SANTA ISABEL DO RIO NEGRO
Médio Rio Negro II,SÃO GABRIEL DA CACHOEIRA
Menkragnoti,ALTAMIRA
Menkragnoti,SÃO FÉLIX DO XINGU
Menkragnoti,MATUPÁ
Menkragnoti,PEIXOTO DE AZEVEDO
Menkü,BRASNORTE
Meria,ALVARÃES
Merure,BARRA DO GARÇAS
Merure,GENERAL CARNEIRO
Miguel/Josefa,AUTAZES
Miratu,UARINI
Monte Caseros,IBIRAIARAS
Monte Caseros,MULITERNO
Morro Alto,SÃO FRANCISCO DO SUL
Morro Branco,GRAJAÚ
Morro da Palha,BIGUAÇU
Morro da Palha,TIJUCAS
Morro dos Cavalos,PALHOÇA
Moskow,BONFIM
Mundo Verde/Cachoeirinha,TEÓFILO OTONI
Munduruku,ITAITUBA
Munduruku,JACAREACANGA
Munduruku-Taquara,AVEIRO
Munduruku-Taquara,BELTERRA
Muriru,BONFIM
Muriru,CANTÁ
Murutinga/Tracaja,AUTAZES
Murutinga/Tracaja,CAREIRO DA VÁRZEA
Nambikwara,COMODORO
Ñande Ru Marangatu,ANTÔNIO JOÃO
Natal/Felicidade,AUTAZES
Nhamundá/Mapuera,FARO
Nhamundá/Mapuera,ORIXIMINÁ
Nhamundá/Mapuera,NHAMUNDÁ
Nhamundá/Mapuera,URUCARÁ
Nioaque,NIOAQUE
Nonoai,GRAMADO DOS LOUREIROS
Nonoai,PLANALTO
Nonoai,RIO DOS ÍNDIOS
Nonoai,NONOAI
Nonoai/Rio da Várzea,GRAMADO DOS LOUREIROS
Nonoai/Rio da Várzea,NONOAI
Nonoai/Rio da Várzea,PLANALTO
Nonoai/Rio da Várzea,TRINDADE DO SUL
Nonoai/Rio da Várzea,LIBERATO SALZANO
Nossa Senhora de Fátima,MIRANDA
Nova Esperança do Rio Jandiatuba,AMATURÁ
Nova Esperança do Rio Jandiatuba,SÃO PAULO DE OLIVENÇA
Nova Jacundá,RONDON DO PARÁ
Nove de Janeiro,HUMAITÁ
Nukini,MÂNCIO LIMA
Ofayé-Xavante,BRASILÂNDIA
Ouro,AMAJARI
Pacaas Novas,GUAJARÁ-MIRIM
Pacheca,CAMAQUÃ
Padre,AUTAZES
Pakurity,CANANÉIA
Palmas,ABELARDO LUZ
Palmas,PALMAS
Panambi - Lagoa Rica,ITAPORÃ
Panambi - Lagoa Rica,DOURADINA
Panambizinho,DOURADOS
Panará,ALTAMIRA
Panará,GUARANTÃ DO NORTE
Panará,MATUPÁ
Pankararé,GLÓRIA
Pankararé,PAULO AFONSO
Pankararé,RODELAS
Pankararu,TACARATU
Pankararu,JATOBÁ
Paquiçamba,VITÓRIA DO XINGU
Paquiçamba,ANAPU
